Frequency[Hz]	Surface Geometrical Factor[Ohms]
6644951904	386.9006898
6637230819	386.4631856
6629256848	386.0113077
6622796099	385.6451501
6619248256	385.4440658
6617517146	385.3459467
6615428279	385.2275482
6610866211	384.9689546
6603284120	384.5391433
6593889302	384.0065178
6583968066	383.443979
6574454309	382.90448
6565282190	382.3842941
6556205243	381.8694472
6546994988	381.3469805
6537549815	380.8111254
6527834150	380.2598596
6517823655	379.6917964
6507906234	379.1289458
6499012197	378.6241176
6492095873	378.2315082
6487586222	377.9754965
6484043748	377.774381
6479618882	377.5231589
6472672341	377.1287395
6463750437	376.6221124
6454744030	376.1106297
6447518734	375.7002587
6442858287	375.4355427
6439857705	375.2651005
6437471644	375.1295599
6434836540	374.9798677
6431867086	374.8111769
6428691780	374.6307855
6425423547	374.4451069
6421961921	374.2484343
6418048687	374.0260923
6413426964	373.7634824
6408184752	373.4655976
6403060696	373.1744095
6398859597	372.935657
6396219738	372.7856248
6394912114	372.7113061
6394420587	372.6833706
6394245497	372.6734202
6394163650	372.6687676
