T	TE013	TE012	TE011
100	1.9443e-05	1.5778e-05	1.2991e-05
95	1.6790e-05	1.3625e-05	1.1219e-05
93	1.5799e-05	1.2821e-05	1.0556e-05
91	1.4847e-05	1.2048e-05	9.9200e-06
89	1.3932e-05	1.1306e-05	9.3091e-06
85	1.2215e-05	9.9128e-06	8.1619e-06
80	1.0271e-05	8.3348e-06	6.8626e-06
77	9.2072e-06	7.4717e-06	6.1520e-06
75	8.5397e-06	6.9300e-06	5.7060e-06
70	7.0105e-06	5.6890e-06	4.6842e-06
65	5.6715e-06	4.6025e-06	3.7895e-06
60	4.5111e-06	3.6608e-06	3.0142e-06
55	3.5173e-06	2.8543e-06	2.3501e-06
50	2.6781e-06	2.1733e-06	1.7894e-06
45	1.9813e-06	1.6079e-06	1.3239e-06
40	1.4147e-06	1.1480e-06	9.4525e-07
35	9.6561e-07	7.8360e-07	6.4519e-07
31	6.8243e-07	5.5380e-07	4.5598e-07
28	5.1008e-07	4.1393e-07	3.4082e-07
23	2.9061e-07	2.3583e-07	1.9418e-07
18	1.4416e-07	1.1699e-07	9.6324e-08
15	8.5583e-08	6.9451e-08	5.7184e-08
12	4.5209e-08	3.6687e-08	3.0207e-08
10	2.6839e-08	2.1780e-08	1.7933e-08
9.55	2.3528e-08	1.9093e-08	1.5720e-08
7.88	1.3578e-08	1.1019e-08	9.0723e-09
6.70	8.5377e-09	6.9284e-09	5.7046e-09
5.94	6.0506e-09	4.9101e-09	4.0428e-09
5.47	4.7798e-09	3.8788e-09	3.1937e-09
25	3.6887e-07	2.9934e-07	2.4647e-07
30	6.2135e-07	5.0423e-07	4.1516e-07
20	1.9486e-07	1.5813e-07	1.3020e-07
