Temp [K]	Relative Permittivity
40	109.2224111
41	109.1460195
42	109.070654
43	108.9927525
44	108.9130796
44.9	108.830635
45.9	108.753279
46.9	108.666897
47.9	108.5803376
48.9	108.4921584
49.9	108.4023812
50.9	108.3114701
51.9	108.2196025
52.9	108.1258694
53.9	108.0298193
54.9	107.9337755
55.9	107.8358659
56.9	107.7379141
57.9	107.6404881
58.9	107.5401131
59.9	107.437911
60.9	107.3353954
61.9	107.2314912
62.9	107.1279235
63.9	107.0249938
64.9	106.9205936
65.8	106.8140468
66.7	106.7149158
67.7	106.6156377
68.8	106.5100784
69.9	106.3949608
71	106.273871
72.1	106.1506466
73.2	106.0274497
74.3	105.9032065
75.4	105.7775958
76.5	105.6493516
77.4	105.5228719
78.5	105.4104933
79.6	105.2930812
80.7	105.1671418
81.8	105.0378874
82.9	104.908272
84	104.7790827
85.1	104.6499455
86.2	104.5190834
87.3	104.3880748
88.4	104.2563291
89.5	104.1249297
90.4	103.9938249
91.4	103.8718687
92.5	103.7549771
93.6	103.6298005
94.7	103.5006384
95.8	103.3692827
96.9	103.237241
98	103.1049478
99.1	102.972331
100.2	102.840909
