Frequency[Hz]	Surface Geometrical Factor[Ohms]
8347542905	253.6859863
8337814576	253.3951108
8327767727	253.0946939
8319627551	252.8512763
8315157502	252.7176025
8312976425	252.6523776
8310344606	252.5736722
8304596762	252.4017767
8295044007	252.116078
8283207517	251.7620566
8270707961	251.3881764
8258721938	251.0296312
8247166479	250.6839413
8235731063	250.34182
8224127848	249.9946546
8212228828	249.6386144
8199989203	249.272357
8187378324	248.8949624
8174884864	248.5210546
8163680754	248.1857121
8154968126	247.9249251
8149287274	247.7548782
8144824809	247.6212979
8139250822	247.4544403
8130500357	247.1924837
8119261674	246.8560197
8107916680	246.5163505
8098815376	246.2438418
8092944916	246.0680618
8089165299	245.9548856
8086159761	245.8648864
8082840533	245.765492
8079100165	245.6534844
8075100520	245.53371
8070983840	245.4104276
8066623582	245.2798482
8061694502	245.13223
8055873049	244.9578803
8049270079	244.7601183
8042815982	244.5668075
8037524443	244.4083121
8034199396	244.308716
8032552377	244.2593817
8031933274	244.2408371
8031712738	244.2342311
8031609648	244.231143
