13/12/2023 15:16:46:getTemprature ['2', '8552.78', '49.9989']
13/12/2023 15:16:46:getField ['4', '8553.31', '0.000']
13/12/2023 15:16:47:getTemprature ['2', '8553.98', '49.9978']
13/12/2023 15:16:47:getField ['4', '8554.52', '0.000']
13/12/2023 15:20:43:getTemprature ['2', '8790.64', '47.5984']
13/12/2023 15:20:44:getField ['4', '8791.20', '0.000']
13/12/2023 15:49:16:getTemprature ['2', '10503.28', '47.6015']
13/12/2023 15:49:17:getField ['4', '10503.72', '0.000']
13/12/2023 15:49:17:getTemprature ['2', '10504.42', '47.5989']
13/12/2023 15:49:18:getField ['4', '10504.94', '0.000']
13/12/2023 15:49:22:getTemprature ['2', '10508.63', '47.5999']
13/12/2023 15:49:22:getField ['4', '10509.16', '0.000']
13/12/2023 15:49:26:getTemprature ['2', '10512.84', '47.5978']
13/12/2023 15:49:26:getField ['4', '10513.36', '0.000']
13/12/2023 15:49:30:getTemprature ['2', '10517.05', '47.6004']
13/12/2023 15:49:31:getField ['4', '10517.55', '0.000']
13/12/2023 15:49:34:getTemprature ['2', '10521.27', '47.5973']
13/12/2023 15:49:35:getField ['4', '10521.77', '0.000']
13/12/2023 15:52:53:getTemprature ['2', '10719.88', '47.6007']
13/12/2023 15:52:53:getField ['4', '10720.41', '0.000']
13/12/2023 15:52:54:getTemprature ['2', '10721.08', '47.5975']
13/12/2023 15:52:55:getField ['4', '10721.59', '0.000']
13/12/2023 15:52:58:getTemprature ['2', '10725.33', '47.5991']
13/12/2023 15:52:59:getField ['4', '10725.81', '0.000']
13/12/2023 15:53:03:getTemprature ['2', '10729.52', '47.6017']
13/12/2023 15:53:03:getField ['4', '10730.02', '0.000']
13/12/2023 15:53:07:getTemprature ['2', '10733.75', '47.5995']
13/12/2023 15:53:07:getField ['4', '10734.22', '0.000']
13/12/2023 15:53:17:getTemprature ['2', '10744.30', '47.5969']
13/12/2023 15:53:18:getField ['4', '10744.84', '0.000']
13/12/2023 15:53:22:getTemprature ['2', '10748.53', '47.6006']
13/12/2023 15:53:22:getField ['4', '10749.02', '0.000']
13/12/2023 15:53:26:getTemprature ['2', '10752.75', '47.5985']
13/12/2023 15:53:26:getField ['4', '10753.28', '0.000']
13/12/2023 15:53:30:getTemprature ['2', '10756.94', '47.5995']
13/12/2023 15:53:30:getField ['4', '10757.45', '0.000']
13/12/2023 15:53:34:getTemprature ['2', '10761.14', '47.5969']
13/12/2023 15:53:35:getField ['4', '10761.64', '0.000']
13/12/2023 15:53:38:getTemprature ['2', '10765.44', '47.6011']
13/12/2023 15:53:39:getField ['4', '10765.86', '0.000']
13/12/2023 15:53:43:getTemprature ['2', '10769.56', '47.5995']
13/12/2023 15:53:43:getField ['4', '10770.08', '0.000']
13/12/2023 15:53:47:getTemprature ['2', '10773.81', '47.6027']
13/12/2023 15:53:47:getField ['4', '10774.30', '0.000']
13/12/2023 15:53:51:getTemprature ['2', '10778.03', '47.6001']
13/12/2023 15:53:51:getField ['4', '10778.50', '0.000']
13/12/2023 15:53:55:getTemprature ['2', '10782.23', '47.6006']
13/12/2023 15:53:56:getField ['4', '10782.77', '0.000']
13/12/2023 15:53:59:getTemprature ['2', '10786.44', '47.5995']
13/12/2023 15:54:00:getField ['4', '10786.92', '0.000']
13/12/2023 15:54:04:getTemprature ['2', '10790.64', '47.6026']
13/12/2023 15:54:04:getField ['4', '10791.14', '0.000']
13/12/2023 15:54:08:getTemprature ['2', '10794.86', '47.6079']
13/12/2023 15:54:08:getField ['4', '10795.38', '0.000']
13/12/2023 15:54:16:getTemprature ['2', '10803.23', '47.6005']
13/12/2023 15:54:17:getField ['4', '10803.75', '0.000']
13/12/2023 15:54:20:getTemprature ['2', '10807.42', '47.6011']
13/12/2023 15:54:21:getField ['4', '10807.92', '0.000']
13/12/2023 15:54:25:getTemprature ['2', '10811.63', '47.5968']
13/12/2023 15:54:25:getField ['4', '10812.14', '0.000']
13/12/2023 15:54:29:getTemprature ['2', '10815.84', '47.6000']
