field 	Temperature 	q_loaded 	q_unloaded 	reso_freq 	Rsf 	del_Rsf 	del_Xsf 
-1.000000e-01 	5.195000e+01 	6.381325e+03 	6.537866e+03 	7.881481e+09 	1.607393e-02 	0 	0 
175 	5.195100e+01 	6.363973e+03 	6.520595e+03 	7.881498e+09 	1.611708e-02 	4.315122e-05 	-4.405831e-04 
959 	5.195200e+01 	6.270337e+03 	6.422140e+03 	7.881508e+09 	1.636751e-02 	2.935794e-04 	-7.305056e-04 
1721 	5.195300e+01 	6.337984e+03 	6.494085e+03 	7.881523e+09 	1.618377e-02 	1.098352e-04 	-1.111571e-03 
2.556700e+03 	5.195300e+01 	6.604615e+03 	6.771112e+03 	7.881524e+09 	1.551271e-02 	-5.612170e-04 	-1.151906e-03 
3.396400e+03 	5.195300e+01 	6.617229e+03 	6.789789e+03 	7.881495e+09 	1.546944e-02 	-6.044880e-04 	-3.681353e-04 
4.164700e+03 	5.195300e+01 	6.742322e+03 	6.918845e+03 	7.881475e+09 	1.517683e-02 	-8.971060e-04 	1.694099e-04 
5.012400e+03 	5.195200e+01 	6.468653e+03 	6.633201e+03 	7.881439e+09 	1.583977e-02 	-2.341573e-04 	1.160207e-03 
5841 	5.195300e+01 	5.908224e+03 	6.039770e+03 	7.881397e+09 	1.741753e-02 	1.343597e-03 	2.278761e-03 
6.669800e+03 	5.195200e+01 	5.473039e+03 	5.584282e+03 	7.881313e+09 	1.885600e-02 	2.782067e-03 	4.566380e-03 
7.461900e+03 	5.195200e+01 	5.680415e+03 	5.804620e+03 	7.881190e+09 	1.813196e-02 	2.058031e-03 	7.879855e-03 
8290 	5.195100e+01 	6.374337e+03 	6.533740e+03 	7.881160e+09 	1.608422e-02 	1.028851e-05 	8.682568e-03 
9.118600e+03 	5.195000e+01 	6.666829e+03 	6.839306e+03 	7.881165e+09 	1.535586e-02 	-7.180667e-04 	8.554588e-03 
9.946700e+03 	5.195200e+01 	6.823710e+03 	7.004670e+03 	7.881165e+09 	1.498820e-02 	-1.085733e-03 	8.566110e-03 
1.079290e+04 	5.195100e+01 	6.836267e+03 	7.020979e+03 	7.881154e+09 	1.495288e-02 	-1.121055e-03 	8.841890e-03 
11585 	5.195000e+01 	6.838495e+03 	7.022179e+03 	7.881156e+09 	1.495028e-02 	-1.123648e-03 	8.787864e-03 
12414 	5.195000e+01 	6.924125e+03 	7.116851e+03 	7.881140e+09 	1.474850e-02 	-1.325428e-03 	9.217876e-03 
